0,1,2,3,4,5
Područje,Odjeljak,Skupina,Razred,Podrazred,Naziv
A,,,,,"POLJOPRIVREDA, ŠUMARSTVO I RIBARSTVO"
,,,10.13,,Proizvodnja proizvoda od mesa i mesa peradi
,,,,10.13.0,Proizvodnja proizvoda od mesa i mesa peradi
,,10.2,,,"Prerada i konzerviranje riba, rakova i mekušaca"
,,,10.20,,"Prerada i konzerviranje riba, rakova i mekušaca"
,,,,10.20.0,"Prerada i konzerviranje riba, rakova i mekušaca"
,,10.3,,,Prerada i konzerviranje voća i povrća
,,,10.31,,Prerada i konzerviranje krumpira
,,,,10.31.0,Prerada i konzerviranje krumpira
,,,10.32,,Proizvodnja sokova od voća i povrća
,,,,10.32.0,Proizvodnja sokova od voća i povrća
,,,10.39,,Ostala prerada i konzerviranje voća i povrća
,,,,10.39.0,Ostala prerada i konzerviranje voća i povrća
,,10.4,,,Proizvodnja biljnih i životinjskih ulja i masti
,,,10.41,,Proizvodnja ulja i masti
,,,,10.41.0,Proizvodnja ulja i masti
,,,10.42,,Proizvodnja margarina i sličnih jestivih masti
,,,,10.42.0,Proizvodnja margarina i sličnih jestivih masti
,,10.5,,,Proizvodnja mliječnih proizvoda i jestivih ledenih proizvoda
,,,10.51,,Proizvodnja mliječnih proizvoda
,,,,10.51.0,Proizvodnja mliječnih proizvoda
,,,10.52,,Proizvodnja sladoleda i ostalih jestivih ledenih proizvoda
,,,,10.52.0,Proizvodnja sladoleda i ostalih jestivih ledenih proizvoda
,,10.6,,,"Proizvodnja mlinskih proizvoda, škroba i škrobnih proizvoda"
,,,10.61,,Proizvodnja mlinskih proizvoda
,,,,10.61.0,Proizvodnja mlinskih proizvoda
,,,10.62,,Proizvodnja škroba i škrobnih proizvoda
,,,,10.62.0,Proizvodnja škroba i škrobnih proizvoda
,,10.7,,,Proizvodnja pekarskih proizvoda i tjestenine
,,,10.71,,Proizvodnja kruha; proizvodnja svježih peciva i sličnih proizvoda te kolača
,,,,10.71.0,Proizvodnja kruha; proizvodnja svježih peciva i sličnih proizvoda te kolača
,,,10.72,,"Proizvodnja dvopeka, keksa, trajnih peciva i kolača"
,,,,10.72.0,"Proizvodnja dvopeka, keksa, trajnih peciva i kolača"
,,,10.73,,Proizvodnja tjestenine
,,,,10.73.0,Proizvodnja tjestenine
,,10.8,,,Proizvodnja ostalih prehrambenih proizvoda
,,,10.81,,Proizvodnja šećera
,,,,10.81.0,Proizvodnja šećera
,,,10.82,,"Proizvodnja kakao, čokoladnih proizvoda i proizvoda od šećera"
,,,,10.82.0,"Proizvodnja kakao, čokoladnih proizvoda i proizvoda od šećera"
,,,10.83,,Prerada čaja i kave
,,,,10.83.0,Prerada čaja i kave
,,,10.84,,Proizvodnja začina i drugih dodataka hrani
,,,,10.84.0,Proizvodnja začina i drugih dodataka hrani
,,,10.85,,Proizvodnja gotove hrane i jela
,,,,10.85.0,Proizvodnja gotove hrane i jela
,,,10.86,,Proizvodnja homogeniziranih prehrambenih pripravaka i dijetetske hrane
,,,,10.86.0,Proizvodnja homogeniziranih prehrambenih pripravaka i dijetetske hrane
,,,10.89,,"Proizvodnja ostalih prehrambenih proizvoda, d. n."
,,,,10.89.0,"Proizvodnja ostalih prehrambenih proizvoda, d. n."
,,10.9,,,Proizvodnja pripremljene hrane za životinje
,,,10.91,,Proizvodnja pripremljene stočne hrane
,,,,10.91.0,Proizvodnja pripremljene stočne hrane
,,,10.92,,Proizvodnja pripremljene hrane za kućne ljubimce
,,,,10.92.0,Proizvodnja pripremljene hrane za kućne ljubimce
,11,,,,Proizvodnja pića
,,11.0,,,Proizvodnja pića
,,,11.01,,"Destiliranje, pročišćavanje i miješanje alkoholnih pića"
,,,,11.01.0,"Destiliranje, pročišćavanje i miješanje alkoholnih pića"
,,,11.02,,Proizvodnja vina od grožđa
,,,,11.02.0,Proizvodnja vina od grožđa
,,,11.03,,Proizvodnja jabukovače i ostalih fermentiranih voćnih pića
,,,,11.03.0,Proizvodnja jabukovače i ostalih fermentiranih voćnih pića
,,,11.04,,Proizvodnja ostalih nedestiliranih fermentiranih pića
,,,,11.04.0,Proizvodnja ostalih nedestiliranih fermentiranih pića
,,,11.05,,Proizvodnja piva
,,,,11.05.0,Proizvodnja piva
,,,11.06,,Proizvodnja slada
,,,,11.06.0,Proizvodnja slada
,,,11.07,,Proizvodnja osvježavajućih napitaka i flaširane vode
,,,,11.07.0,Proizvodnja osvježavajućih napitaka i flaširane vode
,12,,,,Proizvodnja duhanskih proizvoda
,,12.0,,,Proizvodnja duhanskih proizvoda
,,,12.00,,Proizvodnja duhanskih proizvoda
,,,,12.00.1,Obrada duhanskih listova
,,,,12.00.2,Proizvodnja ostalih duhanskih proizvoda
,13,,,,Proizvodnja tekstila
,,13.1,,,Priprema i predenje tekstilnih vlakana
,,,13.10,,Priprema i predenje tekstilnih vlakana
,,,,13.10.0,Priprema i predenje tekstilnih vlakana
,,13.2,,,Tkanje tekstila
,,,13.20,,Tkanje tekstila
,,,,13.20.0,Tkanje tekstila
,,13.3,,,Dovršavanje tekstila
,,,13.30,,Dovršavanje tekstila
,,,,13.30.0,Dovršavanje tekstila
,,13.9,,,Proizvodnja ostalog tekstila
,,,13.91,,Proizvodnja pletenih i kukičanih tkanina
,,,,13.91.0,Proizvodnja pletenih i kukičanih tkanina
,,,13.92,,Proizvodnja tekstilnih proizvoda za kućanstvo i gotovih proizvoda za pokućstvo
,,,,13.92.0,Proizvodnja tekstilnih proizvoda za kućanstvo i gotovih proizvoda za pokućstvo
,,,13.93,,Proizvodnja tepiha i sagova
,,,,13.93.0,Proizvodnja tepiha i sagova
,,,13.94,,"Proizvodnja užadi, konopaca, upletenoga konca i mreža"
,,,,13.94.0,"Proizvodnja užadi, konopaca, upletenoga konca i mreža"
,,,13.95,,Proizvodnja netkanog tekstila i netkanih proizvoda
,,,,13.95.0,Proizvodnja netkanog tekstila i netkanih proizvoda
,,,13.96,,Proizvodnja ostalog tehničkog i industrijskog tekstila
,,,,13.96.0,Proizvodnja ostalog tehničkog i industrijskog tekstila
,,,13.99,,"Proizvodnja ostalog tekstila, d. n."
,,,,13.99.0,"Proizvodnja ostalog tekstila, d. n."
,14,,,,Proizvodnja odjeće
,,14.1,,,Proizvodnja pletene i kukičane odjeće
,,,14.10,,Proizvodnja pletene i kukičane odjeće
,,,,14.10.0,Proizvodnja pletene i kukičane odjeće
,,14.2,,,Proizvodnja ostale odjeće i pribora za odjeću
,,,14.21,,Proizvodnja vanjske odjeće
,,,,14.21.0,Proizvodnja vanjske odjeće
,,,14.22,,Proizvodnja rublja
,,,,14.22.0,Proizvodnja rublja
,,,14.23,,Proizvodnja radne odjeće
,,,,14.23.0,Proizvodnja radne odjeće
,,,14.24,,Proizvodnja kožne odjeće i proizvoda od krzna
,,,,14.24.0,Proizvodnja kožne odjeće i proizvoda od krzna
,,,14.29,,"Proizvodnja ostale odjeće i pribora za odjeću, d. n."
,,,,14.29.0,"Proizvodnja ostale odjeće i pribora za odjeću, d. n."
,15,,,,Proizvodnja kože i srodnih proizvoda od drugih materijala
,,15.1,,,"Štavljenje, bojenje, obrada kože i krzna; proizvodnja putnih i ručnih torbi, sedlarskih i remenarskih proizvoda"
,,,15.11,,"Štavljenje, obrada, bojenje kože i krzna"
,,,,15.11.0,"Štavljenje, obrada, bojenje kože i krzna"
,,,15.12,,"Proizvodnja putnih i ručnih torbi, sedlarskih i remenarskih proizvoda od bilo kojeg materijala"
,,,,15.12.0,"Proizvodnja putnih i ručnih torbi, sedlarskih i remenarskih proizvoda od bilo kojeg materijala"
,,15.2,,,Proizvodnja obuće
,,,15.20,,Proizvodnja obuće
,,,,15.20.0,Proizvodnja obuće
,16,,,,"Obrada drva i proizvodnja proizvoda od drva i pluta, osim namještaja; proizvodnja proizvoda od slame i pletarskih materijala"
,,16.1,,,Piljenje i blanjanje drva; obrada i dorada drva
,,,16.11,,Piljenje i blanjanje drva
,,,,16.11.0,Piljenje i blanjanje drva
,,,16.12,,Obrada i dorada drva
,,,,16.12.0,Obrada i dorada drva
,,16.2,,,"Proizvodnja proizvoda od drva, pluta, slame i pletarskih materijala"
,,,16.21,,Proizvodnja furnira i ostalih ploča od drva
,,,,16.21.0,Proizvodnja furnira i ostalih ploča od drva
,,,16.22,,Proizvodnja sastavljenog parketa
,,,,16.22.0,Proizvodnja sastavljenog parketa
,,,16.23,,Proizvodnja ostale građevne stolarije i elemenata
,,,,16.23.0,Proizvodnja ostale građevne stolarije i elemenata
,,,16.24,,Proizvodnja ambalaže od drva
,,,,16.24.0,Proizvodnja ambalaže od drva
,,,16.25,,Proizvodnja vrata i prozora od drva
,,,,16.25.0,Proizvodnja vrata i prozora od drva
,,,16.26,,Proizvodnja krutih goriva iz biljne biomase
,,,,16.26.0,Proizvodnja krutih goriva iz biljne biomase
,,,16.27,,Dorada proizvoda od drva
,,,,16.27.0,Dorada proizvoda od drva
,,,16.28,,"Proizvodnja ostalih proizvoda od drva i pluta, slame i pletarskih materijala"
,,,,16.28.0,"Proizvodnja ostalih proizvoda od drva i pluta, slame i pletarskih materijala"
,17,,,,Proizvodnja papira i proizvoda od papira
,,17.1,,,"Proizvodnja celuloze, papira i kartona"
,,,17.11,,Proizvodnja celuloze
,,,,17.11.0,Proizvodnja celuloze
,,,17.12,,Proizvodnja papira i kartona
,,,,17.12.0,Proizvodnja papira i kartona
,,17.2,,,Proizvodnja proizvoda od papira i kartona
,,,17.21,,"Proizvodnja valovitog papira, kartona i ambalaže od papira i kartona"
,,,,17.21.0,"Proizvodnja valovitog papira, kartona i ambalaže od papira i kartona"
,,,17.22,,Proizvodnja robe za kućanstvo i higijenu te toaletnih potrepština od papira
,,,,17.22.0,Proizvodnja robe za kućanstvo i higijenu te toaletnih potrepština od papira
,,,17.23,,Proizvodnja uredskog materijala od papira
,,,,17.23.0,Proizvodnja uredskog materijala od papira
,,,17.24,,Proizvodnja zidnih tapeta
,,,,17.24.0,Proizvodnja zidnih tapeta
,,,17.25,,Proizvodnja ostalih proizvoda od papira i kartona
,,,,17.25.0,Proizvodnja ostalih proizvoda od papira i kartona
,18,,,,Tiskanje i umnožavanje snimljenih zapisa
,,18.1,,,Tiskanje i uslužne djelatnosti povezane s tiskanjem
,,,18.11,,Tiskanje novina
,,,,18.11.0,Tiskanje novina
,,,18.12,,Ostalo tiskanje
,,,,18.12.0,Ostalo tiskanje
,,,18.13,,Usluge pripreme za tisak i objavljivanje
,,,,18.13.0,Usluge pripreme za tisak i objavljivanje
,,,18.14,,Knjigoveške i srodne usluge
,,,,18.14.0,Knjigoveške i srodne usluge
,,18.2,,,Umnožavanje snimljenih zapisa
,,,18.20,,Umnožavanje snimljenih zapisa
,,,,18.20.0,Umnožavanje snimljenih zapisa
,19,,,,Proizvodnja koksa i rafiniranih naftnih proizvoda
,,19.1,,,Proizvodnja proizvoda koksnih peći
,,,19.10,,Proizvodnja proizvoda koksnih peći
,,,,19.10.0,Proizvodnja proizvoda koksnih peći
,,19.2,,,Proizvodnja rafiniranih naftnih proizvoda i proizvoda od fosilnih goriva
,,,19.20,,Proizvodnja rafiniranih naftnih proizvoda i proizvoda od fosilnih goriva
,,,,19.20.0,Proizvodnja rafiniranih naftnih proizvoda i proizvoda od fosilnih goriva
,20,,,,Proizvodnja kemikalija i kemijskih proizvoda
,,20.1,,,"Proizvodnja osnovnih kemikalija, gnojiva i dušičnih spojeva, plastike i sintetičkoga kaučuka u primarnim oblicima"
,,,20.11,,Proizvodnja industrijskih plinova
,,,,20.11.0,Proizvodnja industrijskih plinova
,,,20.12,,Proizvodnja bojila i pigmenata
,,,,20.12.0,Proizvodnja bojila i pigmenata
,,,20.13,,Proizvodnja ostalih anorganskih osnovnih kemikalija
,,,,20.13.0,Proizvodnja ostalih anorganskih osnovnih kemikalija
,,,20.14,,Proizvodnja ostalih organskih osnovnih kemikalija
,,,,20.14.0,Proizvodnja ostalih organskih osnovnih kemikalija
,,,20.15,,Proizvodnja gnojiva i dušičnih spojeva
,,,,20.15.0,Proizvodnja gnojiva i dušičnih spojeva
,,,20.16,,Proizvodnja plastike u primarnim oblicima
,,,,20.16.0,Proizvodnja plastike u primarnim oblicima
,,,20.17,,Proizvodnja sintetičkoga kaučuka u primarnim oblicima
,,,,20.17.0,Proizvodnja sintetičkoga kaučuka u primarnim oblicima
,,20.2,,,"Proizvodnja pesticida, dezinficijensa i drugih agrokemijskih proizvoda"
,,,20.20,,"Proizvodnja pesticida, dezinficijensa i drugih agrokemijskih proizvoda"
,,,,20.20.0,"Proizvodnja pesticida, dezinficijensa i drugih agrokemijskih proizvoda"
,,20.3,,,"Proizvodnja boja, lakova i sličnih premaza, grafičkih boja i kitova"
,,,20.30,,"Proizvodnja boja, lakova i sličnih premaza, grafičkih boja i kitova"
,,,,20.30.0,"Proizvodnja boja, lakova i sličnih premaza, grafičkih boja i kitova"
,,20.4,,,"Proizvodnja sredstava za pranje, čišćenje i poliranje"
,,,20.41,,"Proizvodnja sapuna i deterdženata, sredstava za čišćenje i poliranje"
,,,,20.41.0,"Proizvodnja sapuna i deterdženata, sredstava za čišćenje i poliranje"
,,,20.42,,Proizvodnja parfema i toaletno-kozmetičkih preparata
,,,,20.42.0,Proizvodnja parfema i toaletno-kozmetičkih preparata
,,20.5,,,Proizvodnja ostalih kemijskih proizvoda
,,,20.51,,Proizvodnja tekućih biogoriva
,,,,20.51.0,Proizvodnja tekućih biogoriva
,,,20.59,,"Proizvodnja ostalih kemijskih proizvoda, d. n."
,,,,20.59.1,Proizvodnja eksploziva
,,,,20.59.2,Proizvodnja ljepila
,,,,20.59.3,Proizvodnja eteričnih ulja
,,,,20.59.9,Proizvodnja ostalih kemijskih proizvoda
,,20.6,,,Proizvodnja umjetnih vlakana
,,,20.60,,Proizvodnja umjetnih vlakana
,,,,20.60.0,Proizvodnja umjetnih vlakana
,21,,,,Proizvodnja osnovnih farmaceutskih proizvoda i farmaceutskih pripravaka
,,21.1,,,Proizvodnja osnovnih farmaceutskih proizvoda
,,,21.10,,Proizvodnja osnovnih farmaceutskih proizvoda
,,,,21.10.0,Proizvodnja osnovnih farmaceutskih proizvoda
,,21.2,,,Proizvodnja farmaceutskih pripravaka
,,,21.20,,Proizvodnja farmaceutskih pripravaka
,,,,21.20.0,Proizvodnja farmaceutskih pripravaka
,22,,,,Proizvodnja proizvoda od gume i plastike
,,22.1,,,Proizvodnja proizvoda od gume
,,,22.11,,"Proizvodnja, protektiranje i obnova vanjskih i unutrašnjih guma za vozila te proizvodnja zračnica"
,,,,22.11.0,"Proizvodnja, protektiranje i obnova vanjskih i unutrašnjih guma za vozila te proizvodnja zračnica"
,,,22.12,,Proizvodnja ostalih proizvoda od gume
,,,,22.12.0,Proizvodnja ostalih proizvoda od gume
,,22.2,,,Proizvodnja proizvoda od plastike
,,,22.21,,"Proizvodnja ploča, listova, cijevi i profila od plastike"
,,,,22.21.0,"Proizvodnja ploča, listova, cijevi i profila od plastike"
,,,22.22,,Proizvodnja ambalaže od plastike
,,,,22.22.0,Proizvodnja ambalaže od plastike
,,,22.23,,Proizvodnja vrata i prozora od plastike
,,,,22.23.0,Proizvodnja vrata i prozora od plastike
,,,22.24,,Proizvodnja proizvoda od plastike za građevinarstvo
,,,,22.24.0,Proizvodnja proizvoda od plastike za građevinarstvo
,,,22.25,,Obrada i dovršavanje proizvoda od plastike
,,,,22.25.0,Obrada i dovršavanje proizvoda od plastike
,,,22.26,,Proizvodnja ostalih proizvoda od plastike
,,,,22.26.0,Proizvodnja ostalih proizvoda od plastike
,23,,,,Proizvodnja ostalih nemetalnih mineralnih proizvoda
,,23.1,,,Proizvodnja stakla i proizvoda od stakla
,,,23.11,,Proizvodnja ravnog stakla
,,,,23.11.0,Proizvodnja ravnog stakla
,,,23.12,,Oblikovanje i obrada ravnog stakla
,,,,23.12.0,Oblikovanje i obrada ravnog stakla
,,,23.13,,Proizvodnja šupljeg stakla
,,,,23.13.0,Proizvodnja šupljeg stakla
,,,23.14,,Proizvodnja staklenih vlakana
,,,,23.14.0,Proizvodnja staklenih vlakana
,,,23.15,,Proizvodnja i obrada ostalog stakla uključujući tehničku robu od stakla
,,,,23.15.0,Proizvodnja i obrada ostalog stakla uključujući tehničku robu od stakla
,,23.2,,,Proizvodnja vatrostalnih proizvoda
,,,23.20,,Proizvodnja vatrostalnih proizvoda
,,,,23.20.0,Proizvodnja vatrostalnih proizvoda
,,23.3,,,Proizvodnja proizvoda od gline za građevinarstvo
,,,23.31,,Proizvodnja keramičkih pločica i ploča
,,,,23.31.0,Proizvodnja keramičkih pločica i ploča
,,,23.32,,"Proizvodnja opeke, crijepa i ostalih proizvoda od pečene gline za građevinarstvo"
,,,,23.32.0,"Proizvodnja opeke, crijepa i ostalih proizvoda od pečene gline za građevinarstvo"
,,23.4,,,Proizvodnja ostalih proizvoda od porculana i keramike
,,,23.41,,Proizvodnja keramičkih proizvoda za kućanstvo i ukrasnih predmeta
,,,,23.41.0,Proizvodnja keramičkih proizvoda za kućanstvo i ukrasnih predmeta
,,,23.42,,Proizvodnja sanitarne keramike
,,,,23.42.0,Proizvodnja sanitarne keramike
,,,23.43,,Proizvodnja keramičkih izolatora i izolacijskog pribora
,,,,23.43.0,Proizvodnja keramičkih izolatora i izolacijskog pribora
,,,23.44,,Proizvodnja ostalih tehničkih proizvoda od keramike
,,,,23.44.0,Proizvodnja ostalih tehničkih proizvoda od keramike
,,,23.45,,Proizvodnja ostalih proizvoda od keramike
,,,,23.45.0,Proizvodnja ostalih proizvoda od keramike
,,23.5,,,"Proizvodnja cementa, vapna i gipsa"
,,,23.51,,Proizvodnja cementa
,,,,23.51.0,Proizvodnja cementa
,,,23.52,,Proizvodnja vapna i gipsa
,,,,23.52.0,Proizvodnja vapna i gipsa
,,23.6,,,"Proizvodnja proizvoda od betona, cementa i gipsa"
,,,23.61,,Proizvodnja proizvoda od betona za građevinarstvo
,,,,23.61.0,Proizvodnja proizvoda od betona za građevinarstvo
,,,23.62,,Proizvodnja proizvoda od gipsa za građevinarstvo
,,,,23.62.0,Proizvodnja proizvoda od gipsa za građevinarstvo
,,,23.63,,Proizvodnja gotove betonske smjese
,,,,23.63.0,Proizvodnja gotove betonske smjese
,,,23.64,,Proizvodnja žbuke
,,,,23.64.0,Proizvodnja žbuke
,,,23.65,,Proizvodnja fibrocementa
,,,,23.65.0,Proizvodnja fibrocementa
,,,23.66,,"Proizvodnja ostalih proizvoda od betona, cementa i gipsa"
,,,,23.66.0,"Proizvodnja ostalih proizvoda od betona, cementa i gipsa"
,,23.7,,,"Rezanje, oblikovanje i obrada kamena"
,,,23.70,,"Rezanje, oblikovanje i obrada kamena"
,,,,23.70.0,"Rezanje, oblikovanje i obrada kamena"
,,23.9,,,"Proizvodnja brusnih i nemetalnih mineralnih proizvoda, d. n."
,,,23.91,,Proizvodnja brusnih proizvoda
,,,,23.91.0,Proizvodnja brusnih proizvoda
,,,23.99,,"Proizvodnja ostalih nemetalnih mineralnih proizvoda, d. n."
,,,,23.99.0,"Proizvodnja ostalih nemetalnih mineralnih proizvoda, d. n."
,24,,,,Proizvodnja metala
